call_duration_sec,caller_risk_score,is_international_origin,time_of_day_hour,script_similarity_max,urgency_phrase_count,caller_complaint_count,callee_age_group,call_count_from_number_24h,spoofing_indicator,is_scam
114,0.37,1,6,0.35,3,7,65+,4,0.52,0
10,0.48,0,3,0.19,0,0,46-55,3,0.37,0
81,0.47,1,12,0.84,3,6,65+,47,0.87,1
42,0.14,0,20,0.46,1,0,46-55,2,0.14,0
55,0.22,0,21,0.06,0,1,18-25,3,0.6,0
58,0.01,0,21,0.21,2,0,55-65,16,0.06,0
129,0.12,0,10,0.27,2,1,46-55,6,0.09,0
67,0.74,1,3,0.23,6,8,46-55,26,0.25,1
109,0.14,0,10,0.24,0,2,55-65,19,0.12,0
405,0.34,1,21,0.4,0,1,36-45,1,0.22,0
22,0.41,1,16,0.25,1,0,26-35,8,0.08,0
272,0.4,0,16,0.4,1,0,65+,8,0.11,0
108,0.8,1,11,0.44,5,11,46-55,112,0.84,1
338,0.81,1,19,0.47,7,6,55-65,17,0.75,1
39,0.34,0,13,0.29,0,1,36-45,6,0.19,0
160,0.18,0,20,0.1,0,0,65+,2,0.31,0
101,0.26,0,14,0.11,1,2,46-55,5,0.42,0
223,0.08,0,12,0.13,1,2,26-35,22,0.1,0
21,0.3,0,9,0.54,0,0,36-45,1,0.43,0
39,0.08,0,6,0.39,1,0,26-35,22,0.24,0
144,0.18,0,12,0.46,0,0,26-35,4,0.53,0
124,0.11,1,12,0.12,2,0,65+,1,0.35,0
310,0.29,0,10,0.3,0,1,36-45,4,0.38,0
253,0.32,0,15,0.15,2,1,18-25,1,0.19,0
636,0.38,0,16,0.82,7,5,26-35,40,0.41,1
48,0.19,0,5,0.36,0,2,46-55,1,0.22,0
90,0.87,1,5,0.93,7,8,46-55,31,0.43,1
19,0.31,0,22,0.32,3,0,18-25,1,0.51,0
25,0.21,0,6,0.12,0,0,65+,8,0.1,0
98,0.12,0,12,0.07,0,0,36-45,10,0.25,0
734,0.13,0,15,0.18,1,2,18-25,2,0.42,0
121,0.42,0,23,0.23,3,3,36-45,9,0.16,1
473,0.69,0,13,0.6,8,12,55-65,114,0.38,1
210,0.41,0,3,0.12,1,2,36-45,3,0.2,0
45,0.16,0,10,0.54,1,0,46-55,6,0.47,0
279,0.58,1,8,0.57,5,8,65+,108,0.87,1
2497,0.69,0,13,0.9,5,11,36-45,50,0.59,1
348,0.34,0,1,0.18,0,0,26-35,17,0.21,0
71,0.07,1,7,0.16,0,0,55-65,3,0.07,1
622,0.87,0,10,0.75,7,5,55-65,51,0.61,1
32,0.31,0,13,0.07,3,0,18-25,21,0.07,0
75,0.1,1,17,0.15,2,2,46-55,6,0.2,0
117,0.45,0,0,0.2,2,0,36-45,5,0.42,0
184,0.08,0,8,0.73,1,6,65+,412,0.14,1
74,0.76,0,22,0.52,4,9,65+,62,0.54,1
387,0.61,0,13,0.56,5,8,46-55,62,0.42,1
63,0.14,0,4,0.31,0,0,26-35,5,0.43,0
133,0.14,0,20,0.32,1,0,46-55,3,0.04,0
11,0.21,0,15,0.68,1,1,36-45,5,0.35,0
6325,0.79,1,7,0.69,3,9,55-65,43,0.84,1
220,0.9,1,15,0.66,4,7,46-55,34,0.64,1
172,0.29,0,14,0.51,1,1,26-35,8,0.32,0
56,0.41,1,0,0.32,1,0,18-25,7,0.34,0
73,0.1,0,0,0.2,1,0,55-65,5,0.49,0
142,0.25,1,5,0.31,1,0,26-35,15,0.12,0
1139,0.87,0,6,0.73,9,12,55-65,167,0.42,1
16,0.81,0,23,0.64,5,8,65+,39,0.33,1
703,0.56,0,8,0.48,6,11,55-65,45,0.68,1
90,0.49,0,13,0.32,2,0,26-35,7,0.42,0
53,0.33,0,23,0.07,1,2,26-35,2,0.43,0
718,0.74,1,11,0.3,3,5,65+,61,0.56,1
465,0.62,0,21,0.53,8,9,55-65,60,0.45,1
737,0.29,0,10,0.3,3,7,46-55,36,0.57,1
155,0.17,0,16,0.36,0,0,18-25,11,0.39,0
742,0.78,1,11,0.48,9,14,46-55,81,0.51,1
259,0.83,0,10,0.59,8,3,46-55,90,0.3,1
42,0.37,0,12,0.36,1,0,46-55,6,0.17,0
228,0.49,1,9,0.72,5,8,46-55,9,0.66,1
2733,0.8,1,12,0.67,6,7,36-45,75,0.77,1
788,0.22,0,13,0.11,1,0,26-35,2,0.21,0
51,0.1,0,21,0.36,1,0,46-55,1,0.53,0
54,0.12,0,16,0.53,0,1,46-55,8,0.13,0
102,0.23,0,10,0.17,0,0,55-65,2,0.16,0
28,0.5,0,13,0.2,1,1,55-65,1,0.2,0
479,0.13,0,19,0.31,1,1,18-25,1,0.63,0
225,0.75,0,10,0.87,7,4,36-45,24,0.88,1
1210,0.56,0,9,0.59,4,8,65+,52,0.48,1
115,0.3,0,0,0.32,0,2,36-45,1,0.41,0
1300,0.2,1,0,0.4,9,9,18-25,7,0.45,0
101,0.39,1,15,0.2,0,3,55-65,6,0.03,0
636,0.74,1,8,0.68,5,8,36-45,66,0.37,1
239,0.4,0,11,0.27,1,2,18-25,2,0.44,0
210,0.06,0,6,0.07,0,0,46-55,23,0.29,0
31,0.23,0,3,0.11,1,0,26-35,5,0.27,0
200,0.9,1,8,0.83,7,8,65+,62,0.81,1
26,0.09,0,1,0.06,1,1,55-65,23,0.7,0
99,0.29,0,16,0.21,0,6,26-35,2,0.07,0
271,0.22,0,3,0.39,1,0,46-55,1,0.23,0
524,0.7,1,10,0.74,6,5,36-45,35,0.81,1
202,0.64,0,10,0.65,7,9,36-45,39,0.55,1
476,0.56,0,17,0.04,1,2,18-25,9,0.19,0
217,0.48,0,16,0.57,6,8,36-45,17,0.83,1
356,0.44,1,6,0.03,1,3,26-35,3,0.13,0
43,0.4,0,0,0.11,2,1,18-25,3,0.2,0
713,0.62,0,12,0.36,9,4,46-55,61,0.34,1
51,0.38,0,20,0.63,0,4,55-65,4,0.33,0
101,0.48,0,12,0.65,1,4,18-25,2,0.1,0
555,0.27,0,20,0.09,0,1,26-35,1,0.18,0
29,0.06,0,14,0.29,0,2,36-45,8,0.17,0
48,0.62,1,7,0.35,0,1,26-35,6,0.15,0
818,0.71,1,0,0.6,5,12,36-45,121,0.45,1
585,0.71,0,9,0.12,3,12,55-65,32,0.59,1
734,0.63,1,17,0.49,8,7,65+,33,0.66,1
382,0.72,1,23,0.76,5,9,65+,38,0.58,1
145,0.12,0,8,0.68,6,0,26-35,5,0.58,0
84,0.52,1,13,0.65,5,12,65+,24,0.69,1
15,0.13,0,6,0.27,0,0,18-25,4,0.5,0
140,0.16,0,11,0.1,1,1,18-25,11,0.38,0
264,0.74,0,20,0.54,2,9,36-45,32,0.32,1
112,0.28,0,20,0.49,1,1,26-35,20,0.13,0
64,0.11,0,15,0.42,1,2,46-55,7,0.2,0
452,0.06,0,4,0.36,2,1,26-35,1,0.27,0
66,0.13,0,21,0.08,0,1,46-55,1,0.4,0
129,0.13,0,17,0.37,0,0,26-35,3,0.43,0
54,0.19,0,8,0.27,0,1,36-45,1,0.21,0
72,0.12,0,12,0.28,0,1,55-65,1,0.03,0
125,0.39,0,19,0.61,1,2,46-55,1,0.27,0
62,0.43,0,10,0.25,0,1,65+,1,0.39,0
12,0.07,0,15,0.01,0,1,65+,14,0.21,0
17,0.21,0,0,0.64,1,3,36-45,18,0.47,0
256,0.13,0,22,0.17,0,2,65+,11,0.05,0
6,0.14,0,23,0.42,1,1,65+,1,0.28,0
233,0.28,0,21,0.25,1,2,26-35,6,0.33,0
71,0.34,0,14,0.08,0,1,46-55,1,0.45,0
71,0.37,0,17,0.18,1,1,26-35,3,0.13,0
511,0.6,0,9,0.73,7,5,65+,92,0.44,1
507,0.08,0,16,0.55,0,0,36-45,3,0.13,0
954,0.83,1,2,0.85,8,8,36-45,259,0.64,1
21,0.31,0,10,0.19,0,1,36-45,1,0.46,0
35,0.1,0,15,0.12,0,0,46-55,2,0.03,0
16,0.14,1,20,0.47,1,1,46-55,24,0.42,0
50,0.67,0,12,0.37,0,0,36-45,3,0.17,0
375,0.19,1,10,0.4,1,1,36-45,4,0.19,0
755,0.7,1,6,0.82,4,11,65+,198,0.61,1
106,0.54,1,12,0.1,3,5,36-45,3,0.77,0
31,0.08,0,9,0.27,0,3,18-25,3,0.15,0
1528,0.93,0,9,0.4,8,12,55-65,67,0.71,1
39,0.34,0,7,0.21,1,0,36-45,4,0.68,0
152,0.68,1,9,0.52,12,6,55-65,28,0.75,1
10,0.26,0,8,0.3,1,2,55-65,6,0.07,0
32,0.61,1,13,0.68,0,11,46-55,22,0.05,0
358,0.73,1,6,0.63,6,11,46-55,14,0.44,1
802,0.36,0,10,0.53,7,11,55-65,15,0.42,1
106,0.18,1,9,0.27,0,2,65+,9,0.13,0
27,0.36,0,8,0.46,0,2,55-65,13,0.41,0
122,0.06,0,13,0.41,1,1,36-45,6,0.37,0
11,0.1,0,2,0.31,0,0,18-25,11,0.1,0
122,0.22,0,14,0.25,0,0,18-25,15,0.47,0
105,0.32,0,0,0.24,2,3,65+,3,0.16,0
60,0.42,1,3,0.18,1,3,18-25,10,0.21,0
24,0.38,0,15,0.1,2,0,18-25,16,0.27,0
360,0.9,0,15,0.64,8,10,65+,31,0.45,1
137,0.22,0,20,0.21,2,1,18-25,1,0.52,0
129,0.42,0,7,0.37,1,0,46-55,2,0.27,0
173,0.18,0,9,0.35,0,0,46-55,3,0.24,0
110,0.39,1,8,0.17,1,6,18-25,109,0.34,0
67,0.3,0,9,0.42,0,3,55-65,7,0.24,0
294,0.19,0,21,0.4,3,2,26-35,1,0.34,0
71,0.24,0,12,0.2,2,1,26-35,1,0.34,0
79,0.3,0,12,0.41,0,1,55-65,2,0.42,0
95,0.48,0,23,0.3,2,2,46-55,8,0.12,0
228,0.53,0,12,0.28,0,0,26-35,2,0.76,1
465,0.7,0,9,0.21,4,2,36-45,4,0.15,0
875,0.45,1,15,0.48,5,8,36-45,41,0.57,1
116,0.1,0,19,0.01,3,1,55-65,6,0.24,0
28,0.53,0,18,0.33,0,0,36-45,1,0.09,0
1980,0.6,0,3,0.95,8,9,46-55,48,0.83,1
814,0.06,0,22,0.25,0,0,36-45,1,0.25,0
165,0.5,1,16,0.37,1,0,36-45,5,0.45,1
223,0.05,0,10,0.42,0,2,36-45,7,0.01,0
11,0.42,0,15,0.18,1,0,26-35,7,0.33,0
264,0.39,0,8,0.04,1,1,55-65,1,0.28,0
152,0.52,1,8,0.59,6,14,36-45,8,0.59,0
105,0.17,0,20,0.47,0,2,36-45,3,0.35,0
82,0.26,0,7,0.21,2,3,65+,11,0.01,0
3161,0.57,1,13,0.79,8,6,55-65,180,0.68,1
5,0.12,0,8,0.35,0,1,55-65,11,0.08,0
30,0.37,0,0,0.29,1,0,46-55,15,0.25,0
330,0.79,1,8,0.66,5,4,46-55,51,0.54,1
98,0.66,0,15,0.85,12,9,55-65,71,0.38,1
14,0.18,0,23,0.23,1,3,55-65,1,0.4,0
163,0.48,1,10,0.16,0,9,46-55,9,0.26,0
568,0.19,0,7,0.23,3,1,36-45,4,0.05,0
166,0.58,0,22,0.51,4,14,55-65,21,0.58,1
99,0.16,0,23,0.23,2,1,18-25,4,0.28,0
428,0.58,1,13,0.73,4,8,65+,33,0.59,1
38,0.16,0,20,0.2,2,1,36-45,12,0.1,0
144,0.05,0,1,0.15,1,2,26-35,7,0.16,0
174,0.08,0,14,0.38,0,2,46-55,7,0.28,0
172,0.74,0,4,0.66,4,4,26-35,34,0.8,1
4473,0.5,0,10,0.76,7,6,18-25,91,0.75,1
20,0.26,0,10,0.23,2,1,65+,2,0.12,0
79,0.05,0,0,0.15,0,0,18-25,1,0.47,0
1416,0.51,1,21,0.58,10,16,55-65,53,0.66,1
52,0.22,0,10,0.1,0,1,18-25,37,0.45,0
285,0.83,0,11,0.65,6,7,46-55,31,0.63,1
343,0.61,0,22,0.44,1,1,65+,10,0.17,0
231,0.16,0,9,0.38,0,3,18-25,3,0.12,0
14,0.16,0,11,0.4,0,1,36-45,11,0.1,0
105,0.85,0,9,0.52,6,12,46-55,9,0.47,1
81,0.86,0,0,0.36,3,13,18-25,10,0.62,0
305,0.58,0,8,0.29,2,5,46-55,8,0.46,0
866,0.66,1,7,0.7,10,7,36-45,135,0.58,1
32,0.55,0,3,0.24,3,0,18-25,1,0.72,0
537,0.79,0,9,0.45,6,9,36-45,45,0.49,1
461,0.33,0,10,0.62,4,11,46-55,94,0.3,0
235,0.14,0,11,0.47,2,0,18-25,6,0.46,0
178,0.07,0,1,0.33,1,1,46-55,1,0.3,0
340,0.72,1,7,0.47,5,10,65+,52,0.78,0
170,0.64,0,15,0.51,7,8,55-65,33,0.45,1
357,0.31,0,15,0.46,1,2,46-55,8,0.32,0
436,0.29,0,23,0.19,0,1,26-35,4,0.36,0
159,0.03,0,6,0.18,3,1,46-55,3,0.22,0
71,0.44,0,9,0.24,1,4,26-35,10,0.46,0
19,0.15,0,5,0.49,1,1,46-55,2,0.09,0
527,0.26,1,0,0.22,1,2,46-55,12,0.28,0
184,0.28,0,18,0.11,2,2,26-35,3,0.49,0
1670,0.77,1,11,0.6,7,7,55-65,25,0.52,1
282,0.42,0,12,0.39,0,0,18-25,9,0.68,0
169,0.51,1,20,0.82,6,6,55-65,10,0.57,1
42,0.21,0,13,0.06,0,2,36-45,6,0.14,0
48,0.45,0,0,0.33,0,0,36-45,7,0.41,0
2265,0.4,1,9,0.87,3,13,46-55,43,0.55,1
2253,0.91,0,10,0.52,1,7,55-65,8,0.44,1
74,0.24,0,17,0.49,0,3,46-55,8,0.11,0
355,0.05,0,20,0.01,1,2,36-45,1,0.18,0
8,0.1,0,16,0.55,0,2,36-45,5,0.08,0
1600,0.85,0,12,0.33,8,7,36-45,127,0.62,1
37,0.04,0,8,0.03,2,2,46-55,3,0.17,0
310,0.82,0,1,0.54,4,5,18-25,53,0.15,1
83,0.18,0,9,0.63,0,2,26-35,3,0.31,0
147,0.68,1,12,0.26,4,4,26-35,78,0.54,0
747,0.86,1,12,0.62,7,8,65+,42,0.69,1
106,0.44,0,15,0.3,0,0,65+,8,0.54,0
55,0.08,0,6,0.55,1,1,26-35,60,0.3,0
42,0.52,0,20,0.07,0,3,26-35,7,0.25,0
57,0.61,0,4,0.06,2,0,46-55,3,0.64,0
273,0.6,1,14,0.22,1,11,46-55,22,0.24,0
35,0.02,0,3,0.32,1,0,46-55,12,0.32,0
101,0.03,0,14,0.52,0,3,26-35,7,0.19,0
128,0.15,0,22,0.34,1,0,26-35,6,0.21,0
55,0.1,0,13,0.32,0,3,26-35,8,0.41,0
6,0.59,1,16,0.58,2,11,46-55,13,0.32,0
297,0.2,0,11,0.07,0,1,26-35,7,0.24,0
61,0.14,0,12,0.16,0,2,55-65,36,0.13,0
5,0.14,0,13,0.26,0,0,36-45,1,0.09,0
48,0.21,0,1,0.1,1,1,26-35,8,0.34,0
95,0.22,0,18,0.49,2,1,26-35,3,0.1,0
451,0.06,0,15,0.03,0,2,26-35,23,0.25,0
14,0.05,0,10,0.61,0,0,18-25,3,0.6,0
580,0.64,1,16,0.84,6,1,55-65,159,0.37,1
217,0.04,0,14,0.45,0,2,26-35,58,0.01,0
40,0.28,0,6,0.24,0,1,18-25,7,0.3,0
82,0.19,0,1,0.27,0,2,55-65,27,0.11,0
186,0.21,1,7,0.1,1,0,65+,6,0.15,0
962,0.57,1,8,0.79,3,7,65+,60,0.56,1
149,0.76,0,10,0.18,0,3,18-25,10,0.37,0
173,0.16,0,16,0.18,2,2,18-25,2,0.07,0
646,0.24,0,17,0.16,0,1,18-25,5,0.24,0
77,0.48,0,6,0.16,1,0,26-35,10,0.68,0
227,0.62,1,10,0.69,10,9,46-55,224,0.86,1
7,0.37,0,18,0.32,1,1,18-25,2,0.51,0
21,0.15,0,23,0.36,0,1,55-65,1,0.21,0
109,0.12,0,0,0.15,1,0,55-65,15,0.39,0
301,0.6,0,16,0.43,9,12,55-65,116,0.54,1
50,0.12,0,14,0.24,2,1,26-35,2,0.31,0
429,0.24,0,18,0.54,0,1,36-45,2,0.56,0
2525,0.7,1,9,0.48,6,10,46-55,18,0.57,1
115,0.54,0,13,0.21,2,1,18-25,1,0.22,0
172,0.26,0,15,0.22,1,0,36-45,16,0.21,0
209,0.46,1,15,0.55,3,8,26-35,38,0.55,1
522,0.26,0,23,0.2,1,1,65+,1,0.12,0
86,0.13,0,12,0.35,1,0,36-45,17,0.26,0
65,0.22,1,19,0.18,1,2,26-35,8,0.3,0
514,0.9,1,15,0.73,4,10,36-45,36,0.65,1
489,0.84,1,1,0.48,13,7,36-45,11,0.45,1
12,0.08,0,8,0.32,1,1,36-45,1,0.32,0
10,0.17,0,19,0.34,1,1,46-55,2,0.34,0
95,0.76,1,23,0.63,1,11,65+,6,0.26,0
98,0.22,0,8,0.75,1,1,46-55,5,0.29,0
1396,0.84,1,8,0.58,3,3,55-65,178,0.74,1
90,0.06,0,0,0.21,1,0,36-45,1,0.14,1
355,0.22,1,11,0.42,1,3,36-45,3,0.26,0
207,0.54,1,11,0.84,6,7,36-45,30,0.74,1
58,0.05,0,9,0.39,1,3,36-45,3,0.3,0
15,0.32,0,8,0.21,2,0,55-65,4,0.26,0
250,0.58,0,18,0.68,7,10,55-65,84,0.69,1
515,0.1,0,8,0.51,0,1,46-55,3,0.08,0
18,0.21,0,11,0.18,0,0,36-45,4,0.39,0
39,0.18,0,22,0.16,0,0,26-35,2,0.14,0
600,0.26,0,0,0.31,2,3,65+,1,0.1,0
17,0.14,1,16,0.38,1,1,18-25,22,0.31,0
544,0.65,0,6,0.67,8,8,65+,60,0.59,1
1392,0.5,0,12,0.41,7,8,55-65,29,0.5,1
243,0.1,0,12,0.11,1,0,18-25,2,0.11,0
498,0.33,1,8,0.23,1,5,65+,62,0.56,1
258,0.19,1,9,0.27,0,1,46-55,1,0.14,0
25,0.58,0,20,0.21,2,1,18-25,3,0.27,0
620,0.56,1,2,0.56,6,8,65+,116,0.65,1
104,0.17,0,7,0.16,0,1,46-55,1,0.16,0
120,0.4,0,12,0.12,1,2,26-35,8,0.4,0
100,0.09,0,11,0.07,2,1,46-55,5,0.14,0
112,0.33,0,19,0.18,1,1,26-35,3,0.25,0
182,0.33,0,3,0.1,2,0,55-65,5,0.13,0
234,0.16,1,21,0.35,1,2,26-35,3,0.29,0
267,0.12,0,6,0.67,0,0,26-35,6,0.49,0
21,0.19,0,3,0.24,0,2,46-55,1,0.16,0
64,0.52,0,11,0.39,1,2,46-55,8,0.41,0
11,0.05,0,1,0.17,2,4,36-45,1,0.32,1
12,0.18,0,9,0.23,0,4,26-35,3,0.17,0
3232,0.42,0,8,0.44,3,5,55-65,30,0.56,1
36,0.2,0,9,0.33,1,1,46-55,3,0.39,0
239,0.14,0,0,0.22,0,0,46-55,6,0.13,1
361,0.16,0,1,0.24,1,1,18-25,9,0.17,0
468,0.03,0,16,0.25,0,3,18-25,1,0.3,0
757,0.56,1,11,0.53,7,7,65+,171,0.49,1
230,0.53,1,7,0.83,6,6,36-45,19,0.39,1
41,0.3,0,10,0.44,1,0,26-35,1,0.24,0
558,0.31,0,13,0.22,0,0,18-25,6,0.44,0
183,0.61,1,7,0.89,6,3,26-35,34,0.59,1
154,0.18,0,8,0.58,0,1,55-65,7,0.2,0
189,0.1,1,7,0.22,0,1,65+,9,0.31,0
74,0.2,0,6,0.16,3,0,46-55,3,0.31,0
32,0.2,0,3,0.31,0,2,36-45,2,0.21,0
830,0.32,1,1,0.11,5,0,18-25,6,0.75,1
95,0.25,0,9,0.42,2,1,46-55,33,0.04,0
77,0.25,0,7,0.29,1,3,65+,1,0.44,0
459,0.05,0,8,0.15,1,0,55-65,4,0.14,0
88,0.36,0,1,0.16,0,0,36-45,2,0.03,0
134,0.53,0,8,0.2,0,0,36-45,12,0.42,0
1529,0.79,0,14,0.64,5,9,55-65,37,0.69,1
129,0.2,0,16,0.54,1,2,18-25,4,0.27,0
799,0.35,1,12,0.74,9,9,18-25,85,0.65,1
199,0.27,0,14,0.07,1,2,36-45,16,0.3,0
287,0.34,0,9,0.17,1,2,36-45,4,0.35,1
253,0.43,1,7,0.56,5,4,36-45,52,0.65,1
1163,0.59,0,10,0.6,8,8,46-55,24,0.53,1
38,0.19,0,15,0.3,2,4,36-45,2,0.46,0
231,0.25,0,1,0.03,0,1,26-35,7,0.2,0
70,0.12,0,1,0.29,1,2,36-45,10,0.07,0
114,0.78,1,8,0.59,6,13,26-35,11,0.81,1
34,0.08,0,17,0.18,1,0,36-45,3,0.49,0
154,0.22,0,21,0.33,2,1,26-35,7,0.33,0
93,0.1,0,1,0.14,1,0,18-25,5,0.37,0
92,0.18,0,8,0.09,0,1,55-65,19,0.22,0
80,0.14,0,3,0.2,0,0,36-45,5,0.02,0
135,0.35,0,18,0.3,1,1,36-45,2,0.5,0
116,0.12,0,1,0.12,1,4,46-55,2,0.23,0
72,0.04,0,10,0.43,1,3,26-35,10,0.29,0
240,0.51,0,7,0.29,0,1,65+,4,0.6,0
25,0.61,1,14,0.63,4,1,26-35,6,0.35,0
59,0.31,0,15,0.28,0,2,55-65,1,0.36,0
45,0.21,0,21,0.18,1,2,26-35,6,0.41,0
482,0.17,0,9,0.29,1,1,36-45,15,0.42,0
1197,0.29,0,9,0.13,2,1,46-55,13,0.71,0
18,0.28,1,3,0.52,2,0,26-35,2,0.04,0
4420,0.65,0,11,0.33,6,5,46-55,96,0.57,1
2039,0.66,1,17,0.46,9,7,65+,9,0.4,1
80,0.27,0,2,0.71,0,0,18-25,14,0.21,0
927,0.32,0,16,0.5,6,5,46-55,114,0.4,1
206,0.26,0,3,0.23,1,0,46-55,6,0.41,0
367,0.18,0,6,0.29,0,1,26-35,3,0.23,0
199,0.29,0,15,0.34,1,1,26-35,4,0.23,0
121,0.18,0,3,0.21,0,3,55-65,10,0.21,0
1070,0.59,0,10,0.89,1,1,65+,30,0.03,1
75,0.21,0,8,0.47,1,1,55-65,5,0.31,0
27,0.31,0,15,0.05,2,0,46-55,1,0.46,0
4321,0.22,0,3,0.27,0,0,46-55,8,0.18,0
655,0.34,0,11,0.65,5,10,18-25,48,0.48,1
2747,0.68,0,23,0.77,8,8,46-55,102,0.3,1
797,0.77,1,20,0.49,5,11,46-55,34,0.81,1
53,0.29,0,3,0.16,1,1,26-35,3,0.35,0
32,0.4,0,7,0.46,0,2,36-45,2,0.38,0
91,0.71,0,19,0.87,1,8,18-25,146,0.86,0
393,0.75,0,11,0.94,6,4,65+,48,0.73,0
772,0.72,1,11,0.82,4,4,55-65,82,0.58,1
23,0.18,0,18,0.11,1,1,18-25,26,0.07,0
27,0.37,0,13,0.33,0,1,36-45,17,0.53,0
570,0.83,1,13,0.81,10,7,36-45,49,0.6,1
117,0.4,0,19,0.39,3,1,55-65,2,0.14,0
2565,0.87,0,10,0.72,5,4,26-35,101,0.73,1
85,0.31,0,12,0.13,0,0,46-55,3,0.49,0
204,0.28,1,8,0.5,8,8,55-65,72,0.73,1
339,0.15,0,14,0.06,2,0,26-35,5,0.43,0
348,0.43,0,9,0.14,0,1,36-45,1,0.4,0
13,0.16,0,6,0.43,0,0,18-25,1,0.46,0
243,0.57,0,7,0.68,6,6,26-35,42,0.76,0
150,0.15,0,18,0.4,1,1,55-65,10,0.31,0
704,0.15,0,19,0.21,0,0,65+,4,0.08,0
69,0.35,0,18,0.22,2,2,26-35,1,0.11,0
176,0.19,0,16,0.5,0,1,36-45,3,0.15,0
123,0.44,0,21,0.18,1,2,36-45,4,0.47,0
25,0.2,0,8,0.48,0,2,46-55,11,0.21,0
419,0.43,1,21,0.53,3,2,36-45,7,0.46,0
20,0.22,1,14,0.27,1,2,36-45,8,0.43,0
303,0.37,0,10,0.25,0,2,36-45,2,0.15,0
1156,0.53,0,10,0.64,5,7,18-25,55,0.71,1
1006,0.15,0,3,0.17,0,1,65+,4,0.19,0
362,0.26,0,12,0.81,0,2,65+,167,0.27,0
801,0.79,1,11,0.21,6,0,46-55,3,0.74,0
634,0.37,1,14,0.66,6,8,46-55,42,0.86,1
91,0.18,0,15,0.22,0,3,18-25,12,0.46,0
307,0.12,0,14,0.28,0,0,46-55,4,0.22,0
84,0.53,0,16,0.26,1,2,18-25,1,0.34,0
1870,0.91,0,17,0.6,1,8,46-55,54,0.86,1
515,0.88,1,8,0.53,8,9,46-55,62,0.8,1
54,0.1,1,12,0.62,9,0,36-45,26,0.33,0
134,0.38,1,7,0.13,0,0,36-45,2,0.12,0
405,0.33,0,22,0.5,11,7,18-25,9,0.54,1
94,0.91,1,8,0.72,4,3,36-45,111,0.44,1
199,0.07,0,14,0.15,0,1,26-35,7,0.36,0
30,0.1,0,7,0.05,2,0,46-55,1,0.2,0
53,0.14,1,11,0.43,6,3,26-35,44,0.17,0
271,0.54,0,21,0.71,8,6,46-55,117,0.8,1
1041,0.13,1,5,0.46,1,1,26-35,3,0.09,0
828,0.19,0,6,0.25,3,0,55-65,1,0.48,0
119,0.39,0,22,0.2,1,1,26-35,2,0.16,0
831,0.46,1,14,0.67,10,11,65+,32,0.67,1
78,0.52,1,7,0.64,5,4,36-45,86,0.57,1
4250,0.48,1,10,0.63,4,16,55-65,22,0.83,1
37,0.13,1,1,0.27,0,2,55-65,10,0.04,0
128,0.31,0,14,0.09,1,0,36-45,11,0.63,0
143,0.1,0,11,0.25,2,1,26-35,5,0.09,0
276,0.37,0,0,0.62,1,1,18-25,2,0.05,0
1721,0.54,0,8,0.67,10,7,65+,47,0.93,1
1242,0.53,1,9,0.68,6,19,36-45,37,0.61,1
22,0.38,0,2,0.19,2,3,26-35,1,0.32,0
628,0.55,1,12,0.79,7,7,46-55,33,0.69,1
685,0.69,0,14,0.79,5,7,65+,47,0.62,1
973,0.51,1,11,0.85,1,10,26-35,41,0.82,1
98,0.29,0,19,0.07,0,1,36-45,6,0.47,0
22,0.27,0,9,0.59,1,0,36-45,8,0.13,0
71,0.55,0,4,0.25,0,0,46-55,2,0.13,0
90,0.49,1,21,0.24,1,0,26-35,2,0.09,0
262,0.57,1,13,0.54,9,7,55-65,208,0.71,1
253,0.39,0,0,0.71,4,6,36-45,82,0.43,1
1884,0.57,1,10,0.81,2,9,65+,35,0.28,1
24,0.37,0,12,0.13,0,0,65+,6,0.19,0
116,0.2,0,13,0.23,1,0,55-65,11,0.24,0
3321,0.67,1,13,0.52,8,3,65+,72,0.82,1
12,0.21,0,3,0.52,2,2,46-55,2,0.22,0
148,0.1,0,20,0.57,3,0,18-25,4,0.28,0
66,0.4,0,17,0.27,2,0,26-35,5,0.26,0
348,0.31,0,9,0.38,7,7,55-65,24,0.93,1
64,0.27,0,15,0.15,1,0,18-25,3,0.46,0
70,0.16,0,0,0.68,0,2,55-65,47,0.13,0
441,0.23,0,10,0.49,0,1,36-45,9,0.32,0
129,0.34,0,0,0.28,2,2,36-45,3,0.44,0
138,0.54,0,19,0.59,3,8,65+,54,0.82,1
47,0.23,0,12,0.35,1,1,36-45,4,0.11,0
112,0.06,0,9,0.3,0,2,18-25,1,0.36,0
62,0.48,0,11,0.24,0,2,18-25,1,0.12,0
274,0.61,0,5,0.15,0,2,55-65,2,0.26,0
1708,0.73,1,2,0.73,5,5,65+,60,0.68,1
435,0.35,0,12,0.06,0,2,46-55,1,0.15,0
40,0.22,0,17,0.4,1,0,18-25,1,0.11,0
273,0.53,0,7,0.43,4,7,36-45,11,0.42,1
48,0.24,0,13,0.31,0,1,46-55,2,0.04,0
949,0.76,1,20,0.89,2,6,46-55,38,0.45,0
15,0.11,0,22,0.19,0,0,65+,11,0.24,1
115,0.45,0,4,0.31,0,3,46-55,14,0.3,1
34,0.07,0,8,0.31,0,1,36-45,6,0.66,0
152,0.18,0,11,0.24,2,1,26-35,3,0.14,0
123,0.3,0,23,0.73,1,0,26-35,21,0.11,0
